Name,Overall,Position
K. Ayhan,75.0,CB
Ricardo Ferreira,75.0,CB
N. Roux,75.0,ST
Hernâni,75.0,WM
M. Çağıran,75.0,CDM
W. Morgan,75.0,CB
J. Alonso,75.0,FB
M. Wakaso,75.0,CM
K. Traoré,75.0,CAM
Y. Mvogo,75.0,GK
Kaíquão Castro,75.0,GK
K. Fofana,75.0,ST
P. Hurtado,75.0,CAM
D. Bocanegra,75.0,FB
Melero,75.0,CM
Borja Bastón,75.0,ST
O. Murillo,75.0,CB
O. Onazi,75.0,CDM
C. Günter,75.0,FB
I. Amadou,75.0,CDM
Unai López,75.0,CM
K. Iheanacho,75.0,ST
C. Söyüncü,75.0,CB
B. Pearson,75.0,CDM
F. Niederlechner,75.0,ST
S. Denswil,75.0,CB
G. Rodríguez,75.0,CB
P. Guiñazú,75.0,CM
H. Hateboer,75.0,WM
I. Fernández,75.0,CM
L. Blas,75.0,CDM
M. Sarr,75.0,CB
Mikel Rico,75.0,CM
F. Neuhaus,75.0,CM
S. İnan,75.0,CDM
C. Maggio,75.0,FB
Mexer,75.0,CB
F. Magnanelli,75.0,CDM
J. Figal,75.0,CB
V. Claesson,75.0,WM
F. Helander,75.0,CB
J. Gondorf,75.0,WM
R. Ghezzal,75.0,WM
Adama,75.0,FW
O. Duda,75.0,CAM
R. Bensebaini,75.0,FB
L. Depoitre,75.0,ST
N. Vlašić,75.0,CM
Rochina,75.0,CM
M. Doherty,75.0,FB
C. Musonda,75.0,FW
João Teixeira,75.0,CAM
S. Ward,75.0,FB
Y. Cardinale,75.0,GK
S. Francis,75.0,FB
Lafortiscinho,75.0,FB
M. Valdifiori,75.0,CDM
Rubén Pérez,75.0,CM
D. Boyata,75.0,CB
N. Mendy,75.0,CDM
A. Martín Arias,75.0,GK
Pedraza,75.0,WM
Ricardo,75.0,GK
Tarantini,75.0,CM
K. Stöger,75.0,CDM
C. Mbemba,75.0,CB
A. Limbombe,75.0,FW
K. McDonald,75.0,CDM
O. Niasse,75.0,ST
G. Herrera,75.0,GK
R. Borré,75.0,ST
E. Zukanović,75.0,CB
A. Elis,75.0,WM
M. Fernández,75.0,CDM
D. Rodríguez,75.0,CM
T. Klose,75.0,CB
A. Cornelius,75.0,ST
Kwon Chang Hoon,75.0,WM
C. Larin,75.0,ST
Tchê Tchê,75.0,CM
M. Leckie,75.0,WM
L. Quiñones,75.0,WM
Fontàs,75.0,CB
K. Vermeer,75.0,GK
A. Surman,75.0,CM
M. Höger,75.0,CM
S. Dann,75.0,CB
Jovane Cabral,75.0,WM
C. Cathcart,75.0,CB
Zaldúa,75.0,FB
Pelé,75.0,CDM
M. Kelly,75.0,CB
Y. Bolasie,75.0,WM
L. Zelarayán,75.0,CAM
Gelson Fernandes,75.0,CM
D. Glushakov,75.0,CM
Lee Jae Sung,75.0,CAM
Baiano,75.0,FB
A. Hurtado,75.0,ST
A. Mierzejewski,75.0,WM
V. Janssen,75.0,ST
E. Paredes,75.0,ST
B. Alemán,75.0,CAM
P. Retsos,75.0,CB
J. Hernández,75.0,ST
S. Corchia,75.0,FB
Rubén Pardo,75.0,CM
P. Goltz,75.0,CB
D. Türüç,75.0,WM
B. Mechele,75.0,CB
Kaimo Lima,75.0,CB
R. Rodelin,75.0,CAM
Bobô,75.0,ST
L. Ciman,75.0,CB
D. Ba,75.0,ST
H. Medunjanin,75.0,CDM
José Cañas,75.0,CDM
Y. Osorio,75.0,CB
Titi,75.0,CB
Carles Gil,75.0,CAM
P. Lasne,75.0,CM
Lekue,75.0,FB
A. Silva,75.0,FW
A. Danjuma Groeneveld,75.0,WM
C. Luyindama,75.0,CB
L. González Pirez,75.0,CB
Sergio Álvarez,75.0,CDM
M. Cornet,75.0,FW
M. Schnatterer,75.0,WM
O. Kharbin,75.0,ST
Sergi Guardiola,75.0,ST
T. Souček,75.0,CDM
Y. Ravet,75.0,WM
T. Serero,75.0,CM
B. Douglas,75.0,FB
S. Johnstone,75.0,GK
Medrán,75.0,CM
J. Corona,75.0,GK
I. Fetfatzidis,75.0,WM
S. Romero,75.0,WM
B. Jokič,75.0,FB
S. Sinclair,75.0,WM
L. Krejčí,75.0,FW
L. Orbán,74.0,CB
A. Hamdallah,74.0,ST
R. Tapia,74.0,CDM
O. Watkins,74.0,FW
Duirval Diniz,74.0,CB
Arribas,74.0,CB
B. Dabo,74.0,CM
G. Lezcano,74.0,FW
Bebeto,74.0,FB
L. Sobiech,74.0,CB
Guerrero,74.0,ST
K. Boutaïb,74.0,ST
T. Hlatshwayo,74.0,CB
M. Krohn-Dehli,74.0,CM
Lucas Torró,74.0,CDM
J. Vossen,74.0,ST
J. Rodríguez,74.0,GK
M. Pasqual,74.0,FB
Zubeldia,74.0,CM
Da Costa,74.0,GK
D. Kolář,74.0,CAM
M. Zaldivia,74.0,CB
S. Ghoddos,74.0,WM
A. Bălută,74.0,WM
T. Melia,74.0,GK
A. Di Gaudio,74.0,FW
N. Milenković,74.0,FB
V. Demirel,74.0,GK
L. Cooper,74.0,CB
Edercinho Sepa,74.0,CM
A. Morelos,74.0,ST
J. Chester,74.0,CB
D. Sakho,74.0,ST
E. Velázquez,74.0,CB
M. Waris,74.0,ST
T. Matavž,74.0,ST
Y. Khacheridi,74.0,CB
Y. Gerhardt,74.0,CM
K. Laifis,74.0,CB
J. Hoilett,74.0,WM
Pascoal Muscato,74.0,CDM
J. Furch,74.0,ST
Fransérgio,74.0,CM
S. Gümüş,74.0,WM
Anselmo,74.0,CDM
J. Silva,74.0,FB
Manquillo,74.0,FB
Daniel Candeias,74.0,FW
R. Rey,74.0,GK
U. Račić,74.0,CDM
André Sousa,74.0,CDM
G. Ortíz,74.0,CB
A. Ademi,74.0,CDM
P. Roberts,74.0,WM
Daniel Ayala,74.0,CB
M. Kempf,74.0,CB
R. Khedira,74.0,CB
M. Casco,74.0,FB
Caio Milaçar,74.0,CAM
O. Norwood,74.0,CDM
C. Träsch,74.0,CDM
C. Atsu,74.0,WM
A. Touré,74.0,FB
Eduardo,74.0,GK
M. Andújar,74.0,GK
K. Olsson,74.0,CM
E. Krafth,74.0,FB
R. Jack,74.0,CDM
M. Luongo,74.0,CDM
L. Jara,74.0,FB
M. Andreolli,74.0,CB
A. Chahechouhe,74.0,WM
I. Kutepov,74.0,CB
J. Pivarić,74.0,FB
E. Goldaniga,74.0,CB
Elias Fontoira,74.0,CDM
E. Saric,74.0,CM
S. Al Faraj,74.0,CM
L. Crisetig,74.0,CM
A. Pritchard,74.0,ST
D. Calvert-Lewin,74.0,ST
T. Koopmeiners,74.0,CB
Joselu,74.0,ST
G. Svensson,74.0,CDM
Enaldo Praz,74.0,FB
L. Griffiths,74.0,ST
W. Katsande,74.0,CM
S. Kırıntılı,74.0,GK
E. Crivelli,74.0,ST
Jairo,74.0,WM
R. Bazoer,74.0,CM
G. Cunningham,74.0,FB
C. Berra,74.0,CB
A. Beck,74.0,FB
K. Roofe,74.0,ST
G. Imbula,74.0,CM
D. Royer,74.0,WM
C. Njie,74.0,ST
K. Lawrence,74.0,FB
N. Sánchez,74.0,CB
N. Benezet,74.0,WM
O. Şahan,74.0,WM
M. Besler,74.0,CB
D. Falcinelli,74.0,ST
L. Moore,74.0,CB
A. Aguilar,74.0,CDM
Dani Raba,74.0,WM
B. Poulain,74.0,CB
Y. Nagatomo,74.0,FB
Raúl Fernández,74.0,GK
Alberto,74.0,GK
J. Obi,74.0,CM
C. Hourihane,74.0,CM
B. Kuwas,74.0,CF
Jailson Caeiro,74.0,FB
D. Chará,74.0,CM
T. Mykhalyk,74.0,CB
M. Bešić,74.0,CM
Alexis,74.0,CB
E. Puch,74.0,WM
Kel Perinho,74.0,CB
C. Coady,74.0,CB
M. Estigarribia,74.0,CM
E. Sviatchenko,74.0,CB
R. Ortiz,74.0,CDM
Hugo Goiteira,74.0,CB
L. Dimata,74.0,ST
André Horta,74.0,CM
Fábio Melitinho,74.0,CAM
R. Quaison,74.0,CF
Luiz Felipe,74.0,CB
T. Sippel,74.0,GK
B. Nuytinck,74.0,CB
J. Buffarini,74.0,FB
A. Wakaso,74.0,CDM
N. Silva,74.0,CAM
Castro,74.0,CAM
M. Hedges,74.0,CB
João Pereira,74.0,FB
Insua,74.0,CB
Róber,74.0,CB
Osvaldo Lodeiro,74.0,CB
Míchel,74.0,CM
N. Maupay,74.0,ST
J. Rodríguez,74.0,ST
E. Mor,74.0,FW
Lato,74.0,FB
Fernandão,74.0,ST
O. Martínez,74.0,CM
Suk Hyun Jun,74.0,ST
N. Maksimović,74.0,CM
J. Kembo-Ekoko,74.0,FW
S. Anđelković,74.0,CB
A. Katai,74.0,WM
Fabiano Sonta,74.0,CB
A. Ioniţă,74.0,CAM
Seoane,74.0,CDM
C. Pizarro,74.0,ST
Ivo,74.0,CM
L. Sané,74.0,CB
Iñigo Pérez,74.0,CDM
D. Kreilach,74.0,ST
T. Fosu-Mensah,74.0,FB
S. Grandsir,74.0,WM
B. van Leer,74.0,GK
Diogo Leite,74.0,CB
Davidson,74.0,WM
Dídac Vilà,74.0,FB
A. Ciciretti,74.0,FW
Jorge,74.0,FB
E. Didot,74.0,CDM
Marlon Nideiro,74.0,CAM
B. Bereszyński,74.0,FB
A. Hassan,74.0,ST
Jacson Zonta,74.0,WAM
R. Fanni,74.0,CB
A. Diamanti,74.0,CAM
E. Cardona,74.0,FW
S. Prcić,74.0,CDM
Leo Caldeirinha,74.0,WAM
T. Sainsbury,74.0,CB
Edgar Ié,74.0,CB
Alvildo Sousa,74.0,CAM
F. Đuričić,74.0,CAM
J. Boëtius,74.0,CAM
F. Mubele,74.0,ST
A. Chávez,74.0,ST
V. Kovalenko,74.0,CAM
Y. Kaboul,74.0,CB
R. Meggiorini,74.0,ST
B. Sagna,74.0,FB
Kahraba,74.0,WM
Rafael Vaz,74.0,CB
Robson Denho,74.0,CDM
Renatinho,74.0,WM
J. Toljan,74.0,FB
Claudiano Sobrino,74.0,CDM
S. M'Bia,74.0,CDM
Hélton Celanova,74.0,ST
S. Sosa,74.0,GK
Erick Gameira,74.0,ST
Pol Lirola,74.0,WM
M. Jajalo,74.0,CM
H. Mukhtar,74.0,CAM
William,74.0,FB
G. Bong,74.0,FB
N. Hult,74.0,FB
J. Geis,74.0,CDM
L. Cavallini,74.0,ST
P. Verhaegh,74.0,FB
Jadson Vidigal,74.0,ST
Álvaro Jiménez,74.0,WM
O. Vranješ,74.0,CB
M. Bauer,74.0,FB
O. Kayode,74.0,ST
I. Nestorovski,74.0,ST
F. Castillo,74.0,WM
Bruno Varela,74.0,GK
L. Narsingh,74.0,FW
K. Djidji,74.0,CB
L. Robles,74.0,GK
A. Erokhin,74.0,CM
G. Shinnie,74.0,CDM
L. Rizzo,74.0,WM
I. Konaté,74.0,CB
B. Ecuélé Manga,74.0,FB
J. Córdoba,74.0,ST
Edvaldisco,74.0,CDM
G. Sakai,74.0,FB
A. González,74.0,CM
R. Rosales,74.0,FB
J. Dueñas,74.0,FB
N. De Préville,74.0,FW
Diogo Figueiras,74.0,FB
A. El Ghazi,74.0,WM
P. Aguilar,74.0,FB
K. Dolly,74.0,CAM
F. Mora,74.0,ST
P. Barrientos,74.0,ST
H. Rodallega,74.0,ST
A. Epureanu,74.0,CB
M. Caraglio,74.0,ST
S. Lung,74.0,GK
Maurício,74.0,CB
A. Boruc,74.0,GK
C. Gordon,74.0,GK
F. Santander,74.0,ST
A. Ramírez,74.0,CM
M. Cabrera,74.0,CAM
B. Valdez,74.0,CB
Pozo,74.0,CAM
Bruno Gaspar,74.0,FB
N. Rigoni,74.0,CM
I. Kahveci,74.0,CAM
Sebas Couteira,74.0,WAM
Walace,74.0,CDM
R. Shawcross,74.0,CB
David Simão,74.0,CM
C. Rius,74.0,FW
B. Martins Indi,74.0,CB
P. Rosario,74.0,CM
Álvaro García,74.0,WM
Kauã Abranches,74.0,WAM
A. Gyan,74.0,ST
D. Simpson,74.0,FB
H. Seferović,74.0,ST
R. Sobhi,74.0,WM
P. Gazzaniga,74.0,GK
F. Mussis,74.0,CDM
A. Masina,74.0,FB
J. Błaszczykowski,74.0,WM
J. Beausejour,74.0,FB
J. Livermore,74.0,CM
D. Kourmpelis,74.0,CDM
Nicolás Formido,74.0,WAM
J. Aidoo,74.0,CB
Melendo,74.0,WM
E. Pieters,74.0,FB
Luisinho,74.0,FB
A. Semenov,74.0,CB
Ramalho,74.0,CB
Kévin Rodrigues,74.0,FB
K. Piątek,74.0,ST
R. Vlaar,74.0,CB
R. van Wolfswinkel,74.0,WM
Ilie Sánchez,74.0,CDM
Ewerton,74.0,CB
A. Chumacero,74.0,CM
Dani Pacheco,74.0,WM
L. Rodríguez,74.0,ST
A. Jahović,74.0,ST
M. Britos,74.0,CB
M. Rits,74.0,WM
S. Deli,74.0,CB
H. Traoré,74.0,FB
P. Aguedar,74.0,CB
Crespo,74.0,CB
Rafael,74.0,GK
Bigas,74.0,CB
L. Öztunalı,74.0,WM
M. Jojić,74.0,CM
Vitor Bueno,74.0,CAM
G. Til,74.0,CAM
I. Pussetto,74.0,FW
A. Ajeti,74.0,ST
Luiz Araújo,74.0,WM
A. Besedin,74.0,ST
T. Didillon,74.0,GK
Arana,74.0,FB
Zainadine,74.0,CB
K. Théophile-Catherine,74.0,CB
A. Gianniotis,74.0,GK
Bruno Saltor,74.0,FB
M. Stendera,74.0,CM
S. Kalu,74.0,FW
Juan Cala,74.0,CB
J. Tavernier,74.0,FB
W. McKennie,74.0,CM
W. Tesillo,74.0,CB
A. Mariappa,74.0,CB
S. Morrison,74.0,CB
J. Brenet,74.0,FB
B. Dack,74.0,CAM
Y. Kubo,74.0,CAM
T. Pukki,74.0,ST
William,74.0,ST
L. Melgarejo,74.0,WM
J. Jones,74.0,WM
I. Sosa,74.0,WM
M. Ekici,74.0,CAM
A. Nyom,74.0,FB
K. Konaté,74.0,FW
F. Đorđević,74.0,ST
E. Room,74.0,GK
T. Usami,74.0,WM
Ruben Lima,74.0,FB
Fábio Espinho,74.0,CM
L. Marković,74.0,WM
J. Barrera,74.0,WM
R. Mora,74.0,ST
D. Lazović,74.0,WM
M. Burda,74.0,CB
Tana,74.0,CAM
A. Miranchuk,74.0,CAM
L. Grabban,74.0,ST
I. Koné,74.0,CB
J. Hušbauer,74.0,CDM
A. Soumaoro,74.0,CB
Patric,74.0,ST
P. Diamanka,74.0,CM
A. Pulido,74.0,ST
Roger Guedes,74.0,FW
D. N'Doye,74.0,ST
S. Johansen,74.0,CM
I. Afellay,74.0,CAM
A. Zambo Anguissa,74.0,CM
N. Lombaerts,74.0,CB
C. Chambers,74.0,CB
I. Sangaré,74.0,CDM
A. Sulu,74.0,CB
M. Pucciarelli,74.0,ST
R. Saïss,74.0,CM
J. Haberer,74.0,CDM
E. Dennis,74.0,WM
J. Kana-Biyik,74.0,CB
V. Barkas,74.0,GK
K. Johnsson,74.0,GK
S. Floccari,74.0,ST
S. Prödl,74.0,CB
V. Laurini,74.0,FB
A. Eschenko,74.0,FB
S. Okaka,74.0,ST
J. Kodjia,74.0,ST
A. Oyongo,74.0,FB
S. Bolat,74.0,GK
A. Mitriţă,74.0,FW
A. Behich,74.0,FB
O. Tannane,74.0,ST
F. Haroun,74.0,CDM
D. Gosling,74.0,CM
Pedro Santos,74.0,WM
J. Larsen,74.0,WM
F. Bastians,74.0,CB
J. Ralls,74.0,CM
S. Vilakazi,74.0,CM
Victorino Magela,74.0,GK
Marc Navarro,74.0,FB
K. Kamara,74.0,ST
Dória,74.0,CB
S. Serdar,74.0,CM
O. Tufan,74.0,CDM
Pedro Rebocho,74.0,FB
I. Strinić,74.0,FB
S. Grytebust,74.0,GK
W. Hahn,74.0,GK
Adrianiscito,74.0,GK
L. Fernández,74.0,ST
A. Lozano,74.0,ST
M. Tisserand,74.0,CB
M. Ruben,74.0,ST
T. Abraham,74.0,ST
R. Neustädter,74.0,CB
Bebé,74.0,WM
M. Vydra,74.0,CAM
J. Leca,74.0,GK
Carmona,74.0,CAM
C. Lema,74.0,CB
Dentinho,74.0,CAM
L. Villafañez,74.0,WM
D. Brasanac,74.0,CM
S. Kljestan,74.0,CAM
W. Morelo,74.0,ST
M. Diop,74.0,ST
C. Benavente,74.0,CAM
A. del Valle,74.0,WM
R. Ibarra,74.0,WM
J. Musso,74.0,GK
Padilhisco,74.0,FB
F. Forestieri,74.0,ST
A. Bedoya,74.0,CDM
A. Romao,74.0,CDM
O. Gladkyi,74.0,ST
A. Hack,74.0,CB
D. McCarty,74.0,CDM
K. Adénon,74.0,CB
J. Plata,74.0,FW
J. Stephens,74.0,CB
M. Ødegaard,74.0,FW
Rúben Semedo,74.0,CB
Sequeira,74.0,FB
I. Chochev,74.0,CM
M. Gulde,74.0,CB
Bruno César,74.0,WM
F. Jara,74.0,ST
Gabrìel,74.0,GK
M. Bakalorz,74.0,CDM
A. Rossi,74.0,GK
Álex Moreno,74.0,FB
F. Hadergjonaj,74.0,FB
O. Kucher,74.0,CB
M. Diouf,74.0,ST
G. Burdisso,74.0,CB
V. Misidjan,74.0,WM
A. Correa,74.0,CB
R. Salin,74.0,GK
F. Valverde,74.0,CM
M. Etxeberría,74.0,WM
R. Haps,74.0,FB
Cho Hyun Woo,74.0,GK
Y. Gourcuff,74.0,CAM
Jesus Andradaldo,74.0,FB
P. Mpoku,74.0,WM
D. Musto,74.0,CDM
M. Vargas,74.0,FW
A. Baba,74.0,FB
S. Davis,74.0,CM
S. Özbayraklı,74.0,FB
Mattheus Oliveira,74.0,CM
M. Le Marchand,74.0,FB
Régis,74.0,CAM
Nacho,74.0,FB
B. Gibson,74.0,CB
C. Taylor,74.0,FB
T. Kędziora,74.0,FB
R. Saravia,74.0,FB
D. Drexler,74.0,CM
S. Falette,74.0,CB
O. Etebo,74.0,CM
A. Cerci,74.0,FW
L. Rodríguez,74.0,WM
R. Hubník,74.0,CB
J. Andersen,74.0,CB
Fran Beltrán,74.0,CDM
D. Viera,74.0,CB
F. Zampedri,74.0,ST
H. Lindner,74.0,GK
J. Sánchez Miño,74.0,FB
M. Pavlović,74.0,CB
A. Koné,74.0,ST
J. Ferri,74.0,CM
C. Bassogog,74.0,ST
M. Diagne,74.0,ST
J. Ibe,74.0,WM
D. Heuer Fernandes,74.0,GK
A. Fulgini,74.0,WM
M. Jensen,74.0,CM
A. Bjelland,74.0,CB
J. Fuenzalida,74.0,FW
Juanfran,74.0,FB
S. Kittel,74.0,CAM
V. Rosier,74.0,FB
K. Waston,74.0,CB
P. Žulj,74.0,CM
L. Grant,74.0,GK
G. Jara,74.0,CB
S. Lainer,74.0,FB
Óscar Plano,74.0,WM
De la Bella,74.0,FB
R. Cohade,74.0,CM
P. Morales,74.0,CAM
D. Arismendi,74.0,CDM
N. Stanciu,74.0,CDM
D. Ćaleta-Car,74.0,CB
L. Fer,74.0,CDM
A. Williams,74.0,CB
J. Bryan,74.0,FB
Ricardo Costa,74.0,CB
Ailton,74.0,FB
R. Cota,74.0,GK
G. Margreitter,74.0,CB
A. Rebrov,74.0,GK
Djavan,74.0,FB
A. Chedjou,74.0,CB
Luna,74.0,FB
F. Ricca,74.0,FB
C. Awaziem,74.0,CB
F. Carrizo,74.0,WM
A. Ragusa,74.0,FW
A. Wan-Bissaka,74.0,FB
J. Biabiany,74.0,FW
B. Mensah,74.0,CDM
D. Padelli,74.0,GK
D. Tošić,74.0,CB
E. Bauthéac,74.0,WM
Tiago Silva,74.0,CAM
A. Tameze,74.0,CM
V. Manceau,74.0,FB
F. Bardi,74.0,GK
L. Advíncula,74.0,FB
J. Gallardo,74.0,FW
Enaldo Toxeto,74.0,CB
Camilo,74.0,ST
J. Schmid,74.0,FB
Welthon,74.0,ST
Moi Gómez,74.0,CM
Marc Muniesa,74.0,CB
Samu Saiz,74.0,CAM
J. Sorbon,73.0,CB
S. Long,73.0,ST
S. Wuytens,73.0,CB
S. Araujo,73.0,CF
André Martins,73.0,CDM
S. March,73.0,CAM
F. Chafik,73.0,FB
K. Ajer,73.0,CB
K. Grosicki,73.0,WM
Alex Bergantiños,73.0,CDM
E. Derdiyok,73.0,ST
David Braz,73.0,CB
D. Roef,73.0,GK
Lombán,73.0,CB
J. Drobný,73.0,GK
A. Acquah,73.0,CM
T. Smith,73.0,FB
R. Nuzzolo,73.0,ST
G. Jung,73.0,CB
M. Iturra,73.0,CDM
Molinero,73.0,FB
Pedro Sá,73.0,CDM
D. Pérez,73.0,FB
B. Cesar,73.0,CB
D. Braghieri,73.0,CB
C. Álvarez,73.0,GK
Carlos Ponck,73.0,CB
R. Assalé,73.0,ST
M. Miazga,73.0,CB
Léo Bonatini,73.0,ST
B. Fernández,73.0,ST
S. Hutchinson,73.0,CB
S. Rybalka,73.0,CDM
N. Acevedo,73.0,CM
J. Lucero,73.0,ST
G. Chakvetadze,73.0,WM
I. Fossum,73.0,WM
V. Karavaev,73.0,FB
T. Leibold,73.0,FB
G. Arias,73.0,GK
T. Huddlestone,73.0,CDM
A. Clayton,73.0,CDM
K. Nakamura,73.0,CAM
L. Koné,73.0,CB
M. Vejinović,73.0,CM
H. Van Crombrugge,73.0,GK
M. Russ,73.0,CB
Pietrson Mendes,73.0,CAM
Salvi Sánchez,73.0,WM
E. Pavez,73.0,CM
I. Kovács,73.0,CAM
Nildo Petrolina,73.0,FW
Y. Seleznyov,73.0,ST
C. Löwe,73.0,FB
V. Cantillo,73.0,CDM
J. Ward,73.0,FB
S. Skrzybski,73.0,ST
Diego Oliveira,73.0,ST
Luis Milla,73.0,CM
A. Ba,73.0,CB
Jaim Abra,73.0,GK
S. von Bergen,73.0,CB
S. Armenteros,73.0,ST
Y. Öztekin,73.0,WM
J. Molina,73.0,CB
R. Gikiewicz,73.0,GK
G. Silva,73.0,CB
W. Hoolahan,73.0,CAM
Freder Cabral,73.0,GK
J. Gómez,73.0,CAM
Rodrigo Galo,73.0,FB
R. Fredericks,73.0,FB
M. Ishak,73.0,ST
N. Gießelmann,73.0,FB
Luis Couprins,73.0,CDM
F. Kudryashov,73.0,CB
S. Zoller,73.0,ST
D. Brooks,73.0,WM
M. Hawsawi,73.0,CB
M. Bolaños,73.0,ST
J. St. Juste,73.0,FB
João Aurélio,73.0,FB
J. Marié,73.0,CM
R. Benzar,73.0,FB
G. Sertic,73.0,CB
R. Philippoteaux,73.0,WM
Gerson,73.0,CM
B. Assombalonga,73.0,ST
J. Šural,73.0,ST
Gerso,73.0,FW
M. Urruti,73.0,CAM
D. Ciofani,73.0,ST
Etxeita,73.0,CB
L. Ayling,73.0,FB
K. Saief,73.0,WM
S. Thioub,73.0,WM
D. Bronn,73.0,CB
J. Basanta,73.0,CB
Diego Farías,73.0,CF
L. Rodríguez,73.0,FB
Marcos Paneira,73.0,CDM
Cifuentes,73.0,GK
K. Bartley,73.0,CB
K. Monnet-Paquet,73.0,WM
G. Cameron,73.0,CDM
R. Yabo,73.0,WM
A. Najar,73.0,FB
B. Ramselaar,73.0,CAM
T. Ciğerci,73.0,CDM
O. Pérez,73.0,CAM
F. Mattiello,73.0,WM
V. Forren,73.0,CB
F. Diedhiou,73.0,ST
K. Darlow,73.0,GK
F. Novák,73.0,FB
P. Martinez,73.0,CB
M. Santos,73.0,ST
J. Kopic,73.0,WM
N. Al Abed,73.0,WM
C. Keşerü,73.0,CAM
Ferrán Torres,73.0,WM
S. Kapino,73.0,GK
O. Opazo,73.0,FB
André Geraldes,73.0,FB
Juli Piresinho,73.0,FB
J. Schlupp,73.0,FB
Vinicius Cardenha,73.0,FB
B. Lozano,73.0,WM
P. Hrošovský,73.0,CDM
Gabriel Silva,73.0,FB
O. Sorg,73.0,FB
B. Johnsen,73.0,ST
M. Yanga-Mbiwa,73.0,CB
M. Britos,73.0,ST
R. Hennings,73.0,ST
J. Bamba,73.0,WM
Ivo Rodrigues,73.0,FW
E. Audero,73.0,GK
A. Maier,73.0,CDM
F. Tissone,73.0,CDM
M. Dituro,73.0,GK
G. Bia,73.0,CAM
B. Alıcı,73.0,WM
G. Bussmann,73.0,FB
C. Buchtmann,73.0,CM
J. Al Hussien,73.0,CAM
G. Poblete,73.0,CDM
M. Niakhaté,73.0,CB
T. Minamino,73.0,ST
N. Benedetti,73.0,CAM
Y. Sanogo,73.0,ST
E. Álvarez,73.0,CB
S. Sunzu,73.0,CB
M. Kanazaki,73.0,ST
Paulinho,73.0,FB
L. Bustamante,73.0,CAM
E. Schelotto,73.0,FB
Ignasi Miquel,73.0,CB
Álex Gallar,73.0,WM
Orlando Sá,73.0,ST
T. Ince,73.0,FW
Víctor Rodríguez,73.0,WM
L. Baal,73.0,FB
Élton,73.0,FW
A. Ounas,73.0,FW
H. Afful,73.0,FB
C. Clemens,73.0,WM
F. Amorebieta,73.0,CB
J. O'Connell,73.0,CB
F. Dionisi,73.0,ST
H. Harbaoui,73.0,ST
M. Nervo,73.0,CB
J. Djourou,73.0,CB
P. Karlsson,73.0,CB
M. Rangel,73.0,ST
S. Pérez,73.0,CM
F. Manríquez,73.0,CM
Abraham González,73.0,CDM
Ailton Valpaços,73.0,CB
J. Koundé,73.0,CB
T. Xhaka,73.0,CDM
E. Mena,73.0,FB
W. Janssen,73.0,CB
Douglas Armeira,73.0,FB
M. Demiral,73.0,CB
D. Vera,73.0,ST
M. Kamiński,73.0,CB
S. Cárdenas,73.0,CAM
K. Phillips,73.0,CDM
M. Rensing,73.0,GK
Y. Mokhtar,73.0,WM
B. Dejaegere,73.0,CAM
R. Orsolini,73.0,FW
S. de Jong,73.0,CAM
J. Riedewald,73.0,CDM
C. Yacob,73.0,CDM
Yan Junling,73.0,GK
Miguel Veloso,73.0,CDM
B. Zuculini,73.0,CDM
J. Moreira,73.0,FB
B. Hamid,73.0,GK
V. Qazaishvili,73.0,WM
G. Toledo,73.0,FB
E. Barreto,73.0,CM
N. Bungert,73.0,CB
C. Montes,73.0,CB
J. Poulsen,73.0,CM
A. Grünwald,73.0,CAM
S. Clucas,73.0,WM
J. Bořil,73.0,FB
J. Lewis,73.0,GK
D. Nagbe,73.0,CDM
J. Gandolfi,73.0,CB
Fabiano,73.0,GK
J. Mišić,73.0,CM
J. Gélin,73.0,CB
S. Bertoli,73.0,GK
Xeka,73.0,CDM
M. Rosenberg,73.0,ST
Raul García,73.0,FB
G. Caprari,73.0,CF
Diego Lopes,73.0,CAM
M. Banguera,73.0,GK
O. Gonzalez,73.0,CB
Costinha,73.0,CM
E. Palacios,73.0,CM
Sergio Tejera,73.0,CM
Pedro Rocha,73.0,FW
K. Long,73.0,CB
M. Stekelenburg,73.0,GK
Samir,73.0,FB
Carlos Hernández,73.0,CB
L. Martínez Quarta,73.0,CB
F. Barba,73.0,FB
T. Elyounoussi,73.0,WM
T. Krul,73.0,GK
R. Morioka,73.0,CAM
J. Valdés,73.0,CM
Bruno Xadas,73.0,WM
A. Büttner,73.0,FB
C. Akolo,73.0,FW
Cristiano,73.0,ST
K. Möhwald,73.0,CM
A. Rodríguez,73.0,ST
J. Góralski,73.0,CDM
S. Larsson,73.0,CM
D. Ndongala,73.0,WM
S. Carson,73.0,GK
M. Matip,73.0,CB
A. Ulmer,73.0,FB
J. Pied,73.0,FB
M. van der Hoorn,73.0,CB
M. Gavranović,73.0,ST
J. Stryger Larsen,73.0,FB
G. Torje,73.0,WM
C. Mayada,73.0,FB
M. Pérez,73.0,CDM
S. Arfield,73.0,CM
S. Ribas,73.0,ST
A. Christiansen,73.0,CM
F. Aguilar,73.0,CB
O. Veigneau,73.0,FB
Gus Outomouro,73.0,ST
R. Czichos,73.0,CB
Y. Atal,73.0,FB
C. Doukouré,73.0,CDM
F. Sambueza,73.0,WM
Juliano Mascarinhas,73.0,CM
F. Rinaudo,73.0,CM
S. Schrijvers,73.0,ST
J. Ikoné,73.0,CAM
A. Smithies,73.0,GK
